faoCode,faoName,scientificName
BRZ,"Pomfrets, ocean breams nei",Bramidae
BSA,Atlantic seabasses,Morone spp
BSB,Black seabass,Centropristis striata
BSC,Bluespotted seabream,Pagrus caeruleostictus
BSD,Spaniblennius riodourensis,Spaniblennius riodourensis
BSE,Seabasses nei,Dicentrarchus spp
BSF,Black scabbardfish,Aphanopus carbo
BSG,Bathysauropsis gigas,Bathysauropsis gigas
BSH,Blue shark,Prionace glauca
BSP,Warehou nei,Seriolella spp
BSQ,Musical furry lobster,Palibythus magnificus
BSR,Brazilian sardinella,Sardinella brasiliensis
BSS,European seabass,Dicentrarchus labrax
BSU,Sanopus astrifer,Sanopus astrifer
BSV,Psettina brevirictis,Psettina brevirictis
BSX,"Groupers, seabasses nei",Serranidae
BSY,High-finned glass perchlet,Parambassis altipinnis
BSZ,Argentine seabass,Acanthistius brasilianus
BTC,Thalassothia cirrhosa,Thalassothia cirrhosa
BTF,Batfish,Halieutaea stellata
BTG,Gulf butterfishes nei,Peprilus spp
BTK,Flowery flounder,Bothus mancus
BTL,Barathronus maculatus,Barathronus maculatus
BTM,Cano toadfish,Thalassophryne maculosa
BTN,Bathophilus nigerrimus,Bathophilus nigerrimus
BTP,Bellottia apoda,Bellottia apoda
BTQ,January octopus,Benthoctopus januarii
BTS,Hound needlefish,Tylosurus crocodilus
BTU,Bathophilus digitatus,Bathophilus digitatus
BTV,Bathophilus vaillanti,Bathophilus vaillanti
BTX,Bathychaunax coloratus,Bathychaunax coloratus
BTY,Blacksmelts,Bathylagus spp
BTZ,Bathylutichthys taranetzi,Bathylutichthys taranetzi
BUA,Atlantic bumper,Chloroscombrus chrysurus
BUC,Bombay-duck,Harpadon nehereus
BUK,Butterfly kingfish,Gasterochisma melampus
BUM,Blue marlin,Makaira nigricans
BUP,Pacific rudderfish,Psenopsis anomala
BUR,Sompat grunt,Pomadasys jubelini
BUS,Butterflyfishes,Chaetodontidae
BUT,Atlantic butterfish,Peprilus triacanthus
BUV,Benthoctopus tegginmathae,Benthoctopus tegginmathae
BUX,"Butterfishes, pomfrets nei",Stromateidae
BUZ,Bumpers nei,Chloroscombrus spp
BVA,Breviraja atripinna,Breviraja atripinna
BVC,Blue ray,Breviraja caerulea
BVE,Bovichtus elongatus,Bovichtus elongatus
BVG,Channel bull blenny,Cottoperca gobio
BVI,Rossignolâ€™s toadfish,Perulibatrachus rossignoli
BVJ,Martensâ€™ moonflounder,Monolene mertensi
BVK,Pogonophryne barsukovi,Pogonophryne barsukovi
BVN,New Granada sea catfish,Ariopsis bonillai
BVO,Breviraja colesi,Breviraja colesi
BVP,Bluespotted triggerfish,Balistes punctatus
BVQ,Smallscale codlet,Bregmaceros nectabanus
BVR,Silver deepsea smelt,Bathylagoides argyrogaster
BVS,Breviraja spinosa,Breviraja spinosa
BVU,Breviraja cubensis,Breviraja cubensis
BVV,Yellowmouth barracuda,Sphyraena viridensis
BVY,Deep-sea smelts nei,Bathylagidae
BWA,Bluenose warehou,Hyperoglyphe antarctica
BWB,Starry butterfish,Stromateus stellatus
BWG,Armed grunt,Conodon serrifer
BWH,Moontail bullseye,Priacanthus hamrur
BWI,Spiny-tailed leatherjacket,Bigener brownii
BWL,Kidako moray,Gymnothorax kidako
BWM,Mottled flounder,Bothus maculiferus
BWN,Slender frostfish,Benthodesmus tenuis
BWO,Ghost moray,Gymnothorax phasmatodes
BWT,Bathytyphlops sewelli,Bathytyphlops sewelli
BWY,Bathylasmatidae,Bathylasmatidae
BXD,Alfonsino,Beryx decadactylus
BXF,Boxfishes nei,Ostraciidae
BXK,Beliops xanthokrossos,Beliops xanthokrossos
BXL,Semibalanus balanoides,Semibalanus balanoides
BXQ,Marlins nei,Makaira spp
BXY,Pink pipefish,Bryx analicarens
BYA,Aleutian skate,Bathyraja aleutica
BYC,Bathyraja caeluronigricans,Bathyraja caeluronigricans
